Job,Start,Finish,Time Slice,Remaining Time,Quantum Used,Completed,turnaround_time,waiting_time,burst_time
Job-156608138934,0.0,6.0,6.0,6.5,6,False,,,
Job-156922393102,6.0,17.0,11.0,7.579101999999999,11,False,,,
Job-756249922741,17.0,17.01,0.01,0.0,6,True,,,
Job-756249922741,17.0,17.01,0.01,0.0,6,True,16.344209000000003,16.334209,0.01
Job-218059363361,17.01,26.01,9.0,5.355467999999998,9,False,,,
Job-300373251821,26.01,26.050246,0.040246,0.0,5,True,,,
Job-300373251821,26.01,26.050246,0.040246,0.0,5,True,25.202044,25.161798,0.040246
Job-294470514509,26.050246,31.050246,5.0,0.0354000000000001,5,False,,,
Job-22134187777,31.050246,31.31613,0.265884,0.0,5,True,,,
Job-22134187777,31.050246,31.31613,0.265884,0.0,5,True,27.437778,27.171894,0.265884
Job-203075381259,31.31613,36.046354,4.730224000000001,0.0,5,True,,,
Job-203075381259,31.31613,36.046354,4.730224000000001,0.0,5,True,30.847649,26.117425,4.730224000000001
Job-156608138934,36.046354,41.046354,5.0,1.5,5,False,,,
Job-454520770906,41.046354,41.056354,0.01,0.0,5,True,,,
Job-454520770906,41.046354,41.056354,0.01,0.0,5,True,34.230783,34.220783000000004,0.01
Job-203075380957,41.056354,45.695026,4.638672,0.0,5,True,,,
Job-203075380957,41.056354,45.695026,4.638672,0.0,5,True,36.70783,32.069158,4.638672
Job-128055355994,45.695026,66.695026,21.0,25.240234,21,False,,,
Job-300122419451,66.695026,73.604206,6.909179999999999,0.0,15,True,,,
Job-300122419451,66.695026,73.604206,6.909179999999999,0.0,15,True,61.248276000000004,54.339096000000005,6.909179999999999
Job-156922393102,73.604206,81.18330800000001,7.579101999999999,0.0,12,True,,,
Job-156922393102,73.604206,81.18330800000001,7.579101999999999,0.0,12,True,80.805473,62.22637100000001,18.579102
Job-294470513781,81.18330800000001,86.26143200000001,5.078124,0.0,9,True,,,
Job-294470513781,81.18330800000001,86.26143200000001,5.078124,0.0,9,True,67.60873000000001,62.530606000000006,5.078124
Job-125061337368,86.26143200000001,91.97432200000002,5.712890000000001,0.0,7,True,,,
Job-125061337368,86.26143200000001,91.97432200000002,5.712890000000001,0.0,7,True,68.37426200000002,62.661372000000014,5.712890000000001
Job-218059363361,91.97432200000002,97.32979000000002,5.355467999999998,0.0,6,True,,,
Job-218059363361,91.97432200000002,97.32979000000002,5.355467999999998,0.0,6,True,96.52597900000002,82.17051100000002,14.355467999999998
Job-770770141181,97.32979000000002,97.47913600000001,0.149346,0.0,5,True,,,
Job-770770141181,97.32979000000002,97.47913600000001,0.149346,0.0,5,True,71.07069200000001,70.92134600000001,0.149346
Job-774689937649,97.47913600000001,103.47913600000001,6.0,1.8491220000000004,6,False,,,
Job-294470514509,103.47913600000001,103.514536,0.0354000000000001,0.0,5,True,,,
Job-294470514509,103.47913600000001,103.514536,0.0354000000000001,0.0,5,True,101.594245,96.558845,5.0354
Job-313448463362,103.514536,103.52453600000001,0.01,0.0,5,True,,,
Job-313448463362,103.514536,103.52453600000001,0.01,0.0,5,True,72.36126500000002,72.35126500000001,0.01
Job-276478092668,103.52453600000001,103.53453600000002,0.01,0.0,5,True,,,
Job-276478092668,103.52453600000001,103.53453600000002,0.01,0.0,5,True,69.78777900000003,69.77777900000002,0.01
Job-300067580881,103.53453600000002,103.56638800000002,0.031852,0.0,5,True,,,
Job-300067580881,103.53453600000002,103.56638800000002,0.031852,0.0,5,True,65.81289700000002,65.78104500000002,0.031852
Job-726682965732,103.56638800000002,103.57458959912002,0.00820159912,0.0,5,True,,,
Job-726682965732,103.56638800000002,103.57458959912002,0.00820159912,0.0,5,True,65.65079259912002,65.64259100000002,0.00820159912
Job-770544940169,103.57458959912002,103.58889471386001,0.01430511474,0.0,5,True,,,
Job-770544940169,103.57458959912002,103.58889471386001,0.01430511474,0.0,5,True,63.02425371386002,63.00994859912002,0.01430511474
Job-156608138934,103.58889471386001,105.08889471386001,1.5,0.0,5,True,,,
Job-156608138934,103.58889471386001,105.08889471386001,1.5,0.0,5,True,105.08889471386001,92.58889471386001,12.5
Job-299101019168,105.08889471386001,105.56268071386002,0.473786,0.0,5,True,,,
Job-299101019168,105.08889471386001,105.56268071386002,0.473786,0.0,5,True,58.059776713860025,57.58599071386003,0.473786
Job-737576631945,105.56268071386002,111.56268071386002,6.0,2.459472,6,False,,,
Job-737592861432,111.56268071386002,111.60101871386001,0.038338,0.0,5,True,,,
Job-737592861432,111.56268071386002,111.60101871386001,0.038338,0.0,5,True,54.89622871386002,54.857890713860016,0.038338
Job-276614257568,111.60101871386001,111.70973671386001,0.10871800000000001,0.0,5,True,,,
Job-276614257568,111.60101871386001,111.70973671386001,0.10871800000000001,0.0,5,True,54.149184713860016,54.04046671386001,0.10871800000000001
Job-128055355994,111.70973671386001,124.70973671386001,13.0,12.240234000000001,13,False,,,
Job-774689937649,124.70973671386001,126.55885871386,1.8491220000000004,0.0,8,True,,,
Job-774689937649,124.70973671386001,126.55885871386,1.8491220000000004,0.0,8,True,95.51292871386,87.66380671386001,7.849122
Job-737576631945,126.55885871386,129.01833071386,2.459472,0.0,5,True,,,
Job-737576631945,126.55885871386,129.01833071386,2.459472,0.0,5,True,72.37092171386,63.91144971386,8.459472
Job-128055355994,129.01833071386,136.01833071386,7.0,5.240234000000001,7,False,,,
Job-128055355994,136.01833071386,141.25856471385998,5.240234000000001,0.0,6,True,,,
Job-128055355994,136.01833071386,141.25856471385998,5.240234000000001,0.0,6,True,129.74623271385997,83.50599871385997,46.240234
